Comunidades;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2020;11,00
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2019;10,19
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2018;9,74
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2017;9,59
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2016;9,96
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2015;10,46
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2014;11,40
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2013;12,73
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2012;13,50
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2011;13,38
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2010;13,38
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2009;13,39
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2008;12,53
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2007;10,12
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2006;8,74
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2005;7,81
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2004;6,20
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2003;5,12
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2002;3,60
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2001;2,12
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;2000;1,00
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;1999;0,75
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Ambos sexos;1998;0,73
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2020;10,99
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2019;10,15
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2018;9,75
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2017;9,64
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2016;10,11
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2015;10,73
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2014;11,87
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2013;13,36
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2012;14,33
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2011;14,29
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2010;14,45
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2009;14,69
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2008;13,85
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2007;11,07
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2006;9,63
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2005;8,73
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2004;6,98
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2003;5,82
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2002;4,12
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2001;2,41
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;2000;1,06
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;1999;0,78
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Hombres;1998;0,76
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2020;11,02
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2019;10,23
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2018;9,74
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2017;9,53
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2016;9,81
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2015;10,17
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2014;10,91
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2013;12,06
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2012;12,59
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2011;12,41
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2010;12,22
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2009;11,99
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2008;11,10
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2007;9,09
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2006;7,79
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2005;6,82
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2004;5,38
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2003;4,38
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2002;3,04
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2001;1,83
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;2000;0,94
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;1999;0,72
CASTILLA - LA MANCHA;16-64 años;% Extranjeros;Mujeres;1998;0,69
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2020;390.226
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2019;386.483
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2018;382.588
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2017;379.695
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2016;378.271
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2015;377.538
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2014;375.193
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2013;372.079
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2012;372.895
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2011;372.580
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2010;368.722
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2009;365.616
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2008;362.035
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2007;361.501
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2006;363.110
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2005;356.511
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2004;359.262
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2003;358.564
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2002;355.504
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2001;352.286
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;2000;345.593
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;1999;341.180
CASTILLA - LA MANCHA;65 y más;TOTAL;Ambos sexos;1998;331.454
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2020;174.064
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2019;172.035
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2018;169.796
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2017;168.096
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2016;167.358
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2015;166.768
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2014;165.410
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2013;163.781
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2012;163.914
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2011;163.685
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2010;161.887
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2009;160.475
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2008;159.335
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2007;159.371
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2006;160.146
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2005;157.110
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2004;158.888
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2003;158.670
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2002;157.348
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2001;156.143
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;2000;153.139
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;1999;151.396
CASTILLA - LA MANCHA;65 y más;TOTAL;Hombres;1998;146.937
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2020;216.162
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2019;214.448
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2018;212.792
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2017;211.599
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2016;210.913
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2015;210.770
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2014;209.783
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2013;208.298
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2012;208.981
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2011;208.895
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2010;206.835
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2009;205.141
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2008;202.700
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2007;202.130
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2006;202.964
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2005;199.401
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2004;200.374
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2003;199.894
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2002;198.156
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2001;196.142
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;2000;192.454
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;1999;189.784
CASTILLA - LA MANCHA;65 y más;TOTAL;Mujeres;1998;184.517
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2020;384.428
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2019;381.545
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2018;378.323
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2017;376.081
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2016;374.982
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2015;374.366
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2014;372.078
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2013;368.749
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2012;369.524
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2011;369.589
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2010;366.069
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2009;363.271
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2008;359.956
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2007;359.826
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2006;361.606
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2005;355.153
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2004;358.210
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2003;357.703
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2002;354.863
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2001;351.800
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;2000;345.206
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;1999;340.848
CASTILLA - LA MANCHA;65 y más;Españoles;Ambos sexos;1998;331.126
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2020;171.783
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2019;170.070
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2018;168.100
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2017;166.646
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2016;166.033
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2015;165.475
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2014;164.198
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2013;162.487
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2012;162.597
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2011;162.511
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2010;160.840
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2009;159.549
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2008;158.524
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2007;158.718
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2006;159.561
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2005;156.558
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2004;158.465
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2003;158.324
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2002;157.091
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2001;155.951
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;2000;152.968
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;1999;151.252
CASTILLA - LA MANCHA;65 y más;Españoles;Hombres;1998;146.796
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2020;212.645
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2019;211.475
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2018;210.223
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2017;209.435
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2016;208.949
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2015;208.891
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2014;207.880
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2013;206.262
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2012;206.927
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2011;207.078
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2010;205.229
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2009;203.722
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2008;201.432
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2007;201.108
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2006;202.045
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2005;198.595
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2004;199.745
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2003;199.379
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2002;197.772
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2001;195.849
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;2000;192.237
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;1999;189.596
CASTILLA - LA MANCHA;65 y más;Españoles;Mujeres;1998;184.329
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2020;5.798
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2019;4.938
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2018;4.265
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2017;3.614
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2016;3.289
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2015;3.172
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2014;3.115
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2013;3.330
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2012;3.371
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2011;2.991
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2010;2.653
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2009;2.345
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2008;2.079
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2007;1.675
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2006;1.504
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2005;1.358
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2004;1.052
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2003;861
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2002;642
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2001;485
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;2000;388
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;1999;332
CASTILLA - LA MANCHA;65 y más;Extranjeros;Ambos sexos;1998;329
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2020;2.281
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2019;1.965
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2018;1.696
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2017;1.450
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2016;1.325
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2015;1.293
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2014;1.212
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2013;1.294
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2012;1.317
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2011;1.174
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2010;1.047
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2009;926
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2008;811
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2007;653
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2006;585
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2005;552
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2004;423
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2003;346
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2002;257
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2001;192
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;2000;171
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;1999;143
CASTILLA - LA MANCHA;65 y más;Extranjeros;Hombres;1998;141
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2020;3.517
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2019;2.973
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2018;2.569
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2017;2.164
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2016;1.964
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2015;1.879
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2014;1.903
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2013;2.036
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2012;2.054
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2011;1.817
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2010;1.606
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2009;1.419
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2008;1.268
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2007;1.022
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2006;919
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2005;806
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2004;629
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2003;515
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2002;384
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2001;293
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;2000;216
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;1999;188
CASTILLA - LA MANCHA;65 y más;Extranjeros;Mujeres;1998;187
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2020;1,49
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2019;1,28
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2018;1,11
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2017;0,95
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2016;0,87
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2015;0,84
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2014;0,83
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2013;0,89
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2012;0,90
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2011;0,80
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2010;0,72
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2009;0,64
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2008;0,57
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2007;0,46
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2006;0,41
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2005;0,38
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2004;0,29
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2003;0,24
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2002;0,18
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2001;0,14
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;2000;0,11
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;1999;0,10
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Ambos sexos;1998;0,10
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2020;1,31
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2019;1,14
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2018;1,00
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2017;0,86
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2016;0,79
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2015;0,78
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2014;0,73
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2013;0,79
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2012;0,80
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2011;0,72
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2010;0,65
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2009;0,58
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2008;0,51
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2007;0,41
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2006;0,37
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2005;0,35
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2004;0,27
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2003;0,22
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2002;0,16
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2001;0,12
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;2000;0,11
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;1999;0,09
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Hombres;1998;0,10
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2020;1,63
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2019;1,39
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2018;1,21
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2017;1,02
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2016;0,93
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2015;0,89
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2014;0,91
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2013;0,98
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2012;0,98
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2011;0,87
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2010;0,78
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2009;0,69
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2008;0,63
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2007;0,51
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2006;0,45
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2005;0,40
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2004;0,31
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2003;0,26
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2002;0,19
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2001;0,15
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;2000;0,11
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;1999;0,10
CASTILLA - LA MANCHA;65 y más;% Extranjeros;Mujeres;1998;0,10
CATALUÑA;TOTAL EDADES;TOTAL;Ambos sexos;2020;7.780.479
CATALUÑA;TOTAL EDADES;TOTAL;Ambos sexos;2019;7.675.217
